iter	Accuracy	Logloss
0	0.8681318681	0.6583695916
1	0.9340659341	0.63122161
2	0.9120879121	0.6033125336
3	0.8791208791	0.592745629
4	0.8681318681	0.5796443747
5	0.8791208791	0.5638617977
6	0.8901098901	0.544427245
7	0.8681318681	0.5318841127
8	0.8461538462	0.5202915434
9	0.8571428571	0.5041502279
10	0.8571428571	0.4923550696
11	0.8681318681	0.4845673208
12	0.8681318681	0.4684910082
13	0.8681318681	0.4569224103
14	0.8791208791	0.4495797891
15	0.8791208791	0.4410431113
16	0.8681318681	0.4295495879
17	0.8791208791	0.4185690709
18	0.8791208791	0.4139339043
19	0.8791208791	0.403044868
20	0.8791208791	0.3950587437
21	0.8791208791	0.3863289188
22	0.8901098901	0.3732576638
23	0.8791208791	0.367129582
24	0.8791208791	0.3615205132
25	0.8791208791	0.3553390655
26	0.8901098901	0.3471918494
27	0.8901098901	0.3411200825
28	0.8901098901	0.3339894907
29	0.8901098901	0.3278520889
30	0.9010989011	0.3221435401
31	0.9010989011	0.3186241423
32	0.8901098901	0.3137189131
33	0.9120879121	0.3077559128
34	0.9230769231	0.3016495971
35	0.9230769231	0.299034565
36	0.9120879121	0.2946520677
37	0.8901098901	0.2907258894
38	0.9230769231	0.2867238712
39	0.9230769231	0.2837556524
40	0.9230769231	0.2811273355
41	0.9230769231	0.2789480486
42	0.9340659341	0.2730322795
43	0.9340659341	0.2696543276
44	0.9340659341	0.2651894925
45	0.9340659341	0.2590640779
46	0.9340659341	0.2542344863
47	0.9450549451	0.2518196732
48	0.956043956	0.2468682793
49	0.956043956	0.2422956629
50	0.956043956	0.2381324848
51	0.956043956	0.2346051728
52	0.956043956	0.229320307
53	0.956043956	0.2248280225
54	0.956043956	0.2215512353
55	0.956043956	0.2187530322
56	0.956043956	0.2174721449
57	0.967032967	0.214004661
58	0.967032967	0.2110715178
59	0.967032967	0.2079902729
60	0.967032967	0.2055817649
61	0.967032967	0.2031324996
62	0.967032967	0.2006911097
63	0.967032967	0.198361745
64	0.967032967	0.1973818402
65	0.967032967	0.1956842544
66	0.967032967	0.1952517298
67	0.967032967	0.1926018852
68	0.967032967	0.189112386
69	0.967032967	0.1865665817
70	0.967032967	0.1842891814
71	0.967032967	0.1842077489
72	0.978021978	0.1788292528
73	0.978021978	0.1747750619
74	0.978021978	0.1734270537
75	0.978021978	0.1692158329
76	0.978021978	0.1687771563
77	0.978021978	0.1673063052
78	0.978021978	0.1660411082
79	0.978021978	0.1660410885
80	0.978021978	0.1657693786
81	0.978021978	0.1632521547
82	0.978021978	0.1603632305
83	0.978021978	0.1589970614
84	0.978021978	0.1577225684
85	0.978021978	0.1560651675
86	0.978021978	0.1553529362
87	0.978021978	0.153260002
88	0.978021978	0.1520322781
89	0.978021978	0.1498726961
90	0.978021978	0.1487311633
91	0.978021978	0.1485093281
92	0.989010989	0.1468646298
93	0.989010989	0.1456761622
94	0.989010989	0.1441159494
95	0.989010989	0.1419410995
96	0.989010989	0.1408695806
97	0.989010989	0.1383743722
98	0.989010989	0.1360025149
99	0.989010989	0.1337640599
