iter	Passed	Remaining
0	6	662
1	24	1176
2	49	1613
3	70	1680
4	94	1797
5	120	1895
6	147	1960
7	174	2006
8	201	2041
9	230	2070
10	239	1935
11	256	1879
12	283	1894
13	295	1812
14	319	1809
15	346	1819
16	377	1840
17	407	1857
18	434	1853
19	465	1862
20	492	1852
21	518	1839
22	546	1830
23	567	1795
24	592	1777
25	622	1771
26	650	1757
27	677	1741
28	704	1724
29	731	1707
30	758	1688
31	785	1669
32	813	1651
33	839	1629
34	864	1605
35	890	1583
36	916	1560
37	942	1537
38	968	1514
39	997	1496
40	1037	1493
41	1070	1477
42	1097	1454
43	1124	1430
44	1150	1406
45	1186	1392
46	1213	1368
47	1240	1344
48	1267	1319
49	1293	1293
50	1322	1270
51	1349	1245
52	1375	1220
53	1402	1194
54	1430	1170
55	1469	1154
56	1497	1129
57	1523	1103
58	1550	1077
59	1578	1052
60	1605	1026
61	1633	1000
62	1660	974
63	1686	948
64	1713	922
65	1740	896
66	1769	871
67	1797	846
68	1825	820
69	1865	799
70	1891	772
71	1917	745
72	1942	718
73	1974	693
74	2005	668
75	2036	642
76	2065	616
77	2094	590
78	2124	564
79	2150	537
80	2177	510
81	2205	484
82	2233	457
83	2261	430
84	2289	403
85	2318	377
86	2349	351
87	2377	324
88	2405	297
89	2439	271
90	2468	244
91	2495	216
92	2522	189
93	2549	162
94	2576	135
95	2603	108
96	2630	81
97	2656	54
98	2682	27
99	2708	0
